yyyymm,BSI_Actual,BOKIBPA00000USD,BOKEECB00109MP,BOKIEMC00211OAD,BOKIEMC00412,KSTATEBMJ011,KSTATEBMK003,PF,PG,P007,KORIBOR(3M)
2015-01-01,71,1088.86,70,81.9,97.7,96.4,90.5,95,93,85,2.05
2015-02-01,71,1098.4,62,80,98.1,101.5,88.5,97,92,95,2.03
2015-03-01,74,1112.57,80,93,98.7,99.7,106.6,97,93,79,1.88
2015-04-01,78,1088.66,70,92,99,102,102,95,95,88,1.74
2015-05-01,75,1091.27,81,93.3,99.7,100.5,96.5,94,88,91,1.75
2015-06-01,66,1112.2,75,114.7,99.9,89.1,105.6,91,82,78,1.64
2015-07-01,70,1143.22,62,94.8,100.2,93.3,106.4,94,84,83,1.57
2015-08-01,69,1179.1,68,95.3,100.5,94.9,94.2,92,84,67,1.55
2015-09-01,69,1184.76,60,107.4,101,94.5,97.7,93,83,68,1.55
2015-10-01,73,1148.18,58,102,101.4,95.1,102.6,94,85,67,1.54
2015-11-01,69,1151.97,63,104.3,101.7,94.9,98,91,83,75,1.61
2015-12-01,69,1172.24,64,140.7,101.8,91.4,111.8,91,83,68,1.67
2016-01-01,67,1201.67,60,88.5,101.9,91.4,86.8,94,83,70,1.61
2016-02-01,63,1217.35,59,87.6,101.9,90,83,93,81,73,1.54
2016-03-01,68,1188.21,66,112.5,102.3,91.8,103.7,93,83,66,1.55
2016-04-01,70,1147.51,64,104.8,102.7,95,99.1,92,87,77,1.55
2016-05-01,71,1171.51,73,108.8,103.2,92.9,102.2,93,86,70,1.52
2016-06-01,71,1170.5,58,134.1,103.5,92.6,112.2,91,84,70,1.37
2016-07-01,71,1144.09,59,110.2,104,94,99.7,94,86,71,1.27
2016-08-01,72,1111.68,68,113.6,104.5,96.2,101.8,95,84,71,1.27
2016-09-01,72,1107.49,62,116.7,105,95.7,96.5,94,81,66,1.31
2016-10-01,71,1125.28,67,119.8,105.5,94.2,101.5,93,83,70,1.37
2016-11-01,73,1161.64,60,130.8,106,93.7,110.1,95,87,78,1.48
2016-12-01,73,1182.28,63,157.8,106.5,92,124.6,95,87,75,1.51
2017-01-01,74,1185.1,66,100,107.1,94.2,96.8,94,88,79,1.42
2017-02-01,74,1144.92,66,106.8,107.6,96.2,99.3,96,89,75,1.41
2017-03-01,78,1134.77,75,134.3,108.1,98.8,125.6,98,93,84,1.43
2017-04-01,80,1132.73,80,124.5,108.6,98.4,115.7,98,93,85,1.39
2017-05-01,80,1125.28,82,126,109.1,99.5,123.2,98,88,85,1.36
2017-06-01,77,1130.04,84,146.1,109.7,98.6,132,97,91,84,1.36
2017-07-01,78,1134.4,74,124.6,110.1,97.7,120.3,95,90,94,1.37
2017-08-01,77,1130.79,77,123,110.6,98.9,114.3,94,88,97,1.36
2017-09-01,81,1131.59,86,137,110.8,97.5,120.4,94,92,94,1.35
2017-10-01,78,1131.57,79,118.3,111.3,101,100.9,96,89,78,1.41
2017-11-01,80,1105.04,81,131.7,111.6,101,118.7,96,89,87,1.57
2017-12-01,81,1085.78,72,158.9,111.8,100.7,130.8,96,90,84,1.67
2018-01-01,78,1066.7,74,114,112.2,98.1,118.4,96,88,82,1.65
2018-02-01,77,1079.58,77,103.9,112.5,99.8,110.2,96,86,82,1.64
2018-03-01,77,1071.89,76,128.3,112.7,96.3,128.7,94,83,88,1.64
2018-04-01,79,1067.76,81,126.3,112.7,98.3,119,94,87,98,1.65
2018-05-01,81,1076.39,87,124.4,113.2,100.7,118.2,95,89,98,1.65
2018-06-01,80,1092.8,94,139.9,113.5,99,115.6,97,94,96,1.67
2018-07-01,75,1122.8,79,120.4,113.7,93.7,110.1,91,85,90,1.68
2018-08-01,74,1121.15,74,119.6,113.6,94.9,103.3,93,84,96,1.67
2018-09-01,75,1120.6,73,115.4,113.8,97.8,98,93,84,80,1.67
2018-10-01,73,1130.81,69,118,113.9,93.2,107.4,92,85,79,1.76
2018-11-01,74,1128.58,74,121,114,92.2,105.7,93,85,87,1.81
2018-12-01,72,1122.9,67,146.7,114,92.4,113.3,92,83,87,1.89
2019-01-01,69,1122,70,104.3,114.2,89.8,99.7,92,83,93,1.86
2019-02-01,69,1122.45,73,93.4,114.4,95.6,82.3,95,84,88,1.86
2019-03-01,73,1130.72,75,118.5,114.7,94.7,108.3,94,86,82,1.87
2019-04-01,74,1140.95,71,114.8,115.1,95.8,113.5,93,88,87,1.54
2019-05-01,73,1183.29,79,116.7,115.3,92.1,108.2,94,87,71,1.8
2019-06-01,74,1175.62,75,132.7,115.4,92.8,107.4,94,86,81,1.72
2019-07-01,73,1175.31,67,109.7,115.4,89.6,106.8,94,82,73,1.63
2019-08-01,69,1208.98,59,109.5,115.7,88.8,101,93,82,77,1.46
2019-09-01,72,1197.55,65,109.6,116.1,91.7,97.6,92,80,68,1.49
2019-10-01,73,1184.13,63,112.6,116.8,91.1,105.7,93,82,73,1.46
2019-11-01,74,1167.45,65,113.9,117.5,91.9,106.9,92,84,83,1.48
2019-12-01,76,1175.84,73,147.9,118.3,92.9,125.9,93,83,82,1.51
2020-01-01,75,1157.8,67,97.01,118.8,95.7,95.6,93,85,79,1.45
2020-02-01,65,1187.8,79,98.1009,119,87.2,95.5,92,79,78,1.34
2020-03-01,54,1215.3,79,122.3499,118.6,63.7,119.6,87,68,57,1.16
2020-04-01,51,1225.23,47,111.11387,118.4,55.7,115.7,80,63,42,1.06
2020-05-01,53,1228.67,38,110.0242,118.5,57.8,108.1,80,54,41,0.91
2020-06-01,56,1210.01,37,128.0002,119.2,63.1,113.7,82,58,53,0.67
2020-07-01,62,1198.9,49,109.1891,120.1,72.8,111.2,82,68,64,0.64
2020-08-01,66,1186.85,67,115,119.3,79.7,109.1,83,70,71,0.58
2020-09-01,68,1165.48,75,114.9,119.2,80.1,108.1,85,72,70,0.71
2020-10-01,70,1157.61,70,116,119.4,83.4,107.7,87,74,71,0.8
2020-11-01,72,1150.83,71,118.9,120,86.4,111.5,88,76,74,0.87
2020-12-01,74,1151.44,72,120.5,120.4,89.2,111.5,89,78,75,0.91
2021-01-01,73,1154.09,74,120.3,120.8,90.2,110.2,90,79,77,0.96
2021-02-01,73,1159.25,75,116.6,121,88.5,109.5,90,79,77,0.99
2021-03-01,70,1168.27,74,116.6,121,86.7,111.5,90,78,74,1.03
2021-04-01,67,1177.36,70,118.3,120.9,82.4,113.6,89,76,70,1.03
2021-05-01,66,1185.55,64,118.2,121.4,79.6,113.7,88,74,67,1.02
2021-06-01,65,1188.77,60,119,121.5,78.8,114,88,72,66,0.99
2021-07-01,67,1191.75,61,120.1,122,78.5,114.1,87,72,66,0.97
2021-08-01,67,1191.95,64,118.5,122.1,79.1,113.9,87,73,68,0.94
2021-09-01,69,1191.06,66,119.8,122.2,80.6,113.3,87,73,70,0.93
2021-10-01,70,1192.32,68,120.6,122.1,82.1,113.2,87,74,72,0.93
2021-11-01,71,1195.74,69,120.8,122.3,83,113.7,89,75,73,0.95
2021-12-01,73,1201.9,71,122,122.5,85.7,113.8,89,76,74,0.96
2022-01-01,74,1207.15,73,122.7,123.1,87.2,113.8,90,77,75,0.99
2022-02-01,74,1213.44,75,122.6,123.4,88.5,114,91,78,75,1
2022-03-01,75,1216.36,75,122.7,123.5,88.8,114.1,92,78,76,1.02
2022-04-01,74,1214.73,75,122.5,123.6,87.7,114.5,92,78,75,1.03
2022-05-01,73,1209.6,73,122.8,123.9,87.9,115.1,92,78,75,1.04
2022-06-01,73,1201.56,72,123,124,87.9,116.3,92,78,74,1.06
2022-07-01,72,1193.4,71,123.6,124.5,86.8,116.9,92,78,75,1.07
2022-08-01,72,1185.57,71,123.8,124.8,87.7,116.5,92,77,75,1.06
2022-09-01,73,1179.18,72,123.5,125,86.5,116.3,92,78,76,1.07
2022-10-01,73,1175.71,73,124.2,124.9,87.8,117.1,92,78,77,1.06
2022-11-01,74,1174.74,74,124.2,125.3,87.1,116.7,93,78,78,1.07
2022-12-01,74,1176.39,73,125.4,125.4,88.1,116.9,93,78,78,1.09
2023-01-01,76,1179.58,75,126.4,125.9,89.3,116.7,94,79,78,1.08
2023-02-01,76,1183.88,75,127.4,125.9,89.6,116.9,94,79,79,1.08
2023-03-01,78,1188.47,77,127.6,125.9,91,117.7,94,79,78,1.08
2023-04-01,78,1192.63,78,128.5,126.1,91.7,118,95,79,78,1.09
2023-05-01,79,1196.11,78,128,126.2,92.3,118.5,95,80,78,1.09
2023-06-01,79,1198.92,78,129.3,126.4,92.7,119.1,95,81,78,1.12
2023-07-01,79,1201.62,78,128.8,127,92.2,119.7,96,81,78,1.13
2023-08-01,79,1204.29,78,128.4,127.1,93.4,119.7,96,81,78,1.13
2023-09-01,78,1207.43,77,128.1,127.3,93.2,119.9,96,81,78,1.15
2023-10-01,79,1210.98,77,128.8,127.6,94.2,120,96,81,78,1.15
2023-11-01,78,1214.53,78,129.3,128,94.3,120.5,96,81,80,1.17
2023-12-01,79,1217.5,78,128.9,128.1,94.7,120.1,97,81,81,1.16
2024-01-01,80,1219.17,79,129.6,128.5,95,120.2,96,82,82,1.16
2024-02-01,81,1219.26,80,130,128.8,94.5,120.6,97,82,81,1.16
2024-03-01,80,1217.47,81,131,129.1,95.7,120.4,97,82,81,1.17
2024-04-01,82,1214.02,81,131.9,129,96.8,120.7,97,82,81,1.17
2024-05-01,83,1209.51,81,132.7,128.9,97.5,121,97,83,81,1.17
2024-06-01,83,1204.62,81,133.6,129.1,98.1,122,98,83,81,1.18
2024-07-01,84,1200.14,82,134,129.4,99,121.8,98,84,80,1.19
2024-08-01,83,1196.59,83,133.8,129.6,99,122.9,99,84,80,1.18
2024-09-01,83,1194.36,82,134.1,129.9,99.9,122.9,99,84,80,1.2
2024-10-01,84,1193.61,81,133.5,130.1,100.7,123,99,84,80,1.21
2024-11-01,84,1194.2,82,133.9,130.4,99.9,123.3,100,84,81,1.22
2024-12-01,85,1195.89,81,133.6,130.7,100.8,123.2,100,85,82,1.22
2025-01-01,84,1198.3,83,133.3,130.8,101,123.8,100,85,82,1.23
2025-02-01,84,1201.15,83,133.8,131.4,100.9,123.7,100,85,83,1.24
2025-03-01,85,1204.17,83,134.5,131.6,101,124.2,100,85,83,1.24
2025-04-01,86,1207.22,83,136.1,131.7,101.6,124.6,101,85,84,1.26
2025-05-01,87,1210.28,85,136.4,131.7,101.1,124.2,101,86,84,1.25
2025-06-01,86,1213.36,86,136.9,131.8,101.2,124.3,101,86,85,1.26
2025-07-01,87,1216.46,86,137,132.1,102.5,124.7,101,86,84,1.26
2025-08-01,86,1219.48,86,138.6,132.4,103.4,125,102,86,85,1.27
2025-09-01,86,1222.29,85,137.5,132.4,103.1,125.7,102,87,84,1.27
2025-10-01,88,1224.61,85,138.3,132.5,103.9,125.9,102,87,84,1.27
2025-11-01,88,1226.19,86,138.6,132.8,104.3,126.2,102,87,84,1.28
2025-12-01,88,1226.8,85,138.7,133,105.2,126.2,102,87,85,1.29
2026-01-01,88,1226.33,86,139.2,133.2,104.7,126.8,103,87,84,1.29
2026-02-01,89,1224.83,86,140.2,133.5,105.6,126.7,103,87,84,1.29
2026-03-01,89,1222.48,87,139.3,134.1,106,126.9,103,87,85,1.29
2026-04-01,89,1219.62,88,140.3,134.3,105.8,127.6,103,88,85,1.32
2026-05-01,90,1216.61,87,140.4,134.3,107.3,127.2,104,88,87,1.33
2026-06-01,91,1213.85,88,140.6,134.5,106.6,127.4,104,88,87,1.35
2026-07-01,92,1211.64,89,141,134.9,108,127.8,104,88,87,1.35
2026-08-01,91,1210.2,90,142.6,135.2,107.7,128.2,105,89,88,1.35
2026-09-01,92,1209.62,90,143.4,135.2,108.8,128.4,105,89,88,1.37
2026-10-01,91,1209.89,90,144,135.7,109.5,128.5,105,90,88,1.38
2026-11-01,92,1210.91,89,143.6,135.8,110.2,128.6,106,90,87,1.37
2026-12-01,92,1212.54,90,143.6,135.7,109.4,128.8,105,90,88,1.37
